DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
0,0,0,0
1,1,2090.36,-3036.23,3686.23,2
2,1,-3016.27,-4766.52,5640.71,0
3,1,1517.93,513.598,1602.46,5
4,1,335.654,3314.45,3331.41,2
5,1,-2701.98,-2212.63,3492.33,2
6,1,3964.91,-3344.07,5186.84,0
7,1,3904.63,-1906.89,4345.39,1
8,1,4307.65,-1114.47,4449.48,1
9,1,-2126.03,5200.06,5617.89,0
10,1,-1181,-1296.57,1753.81,5
11,1,-5730.61,-1879.34,6030.91,0
12,1,-3382.15,-3506.34,4871.69,0
13,1,-4251.37,-3492.1,5501.71,0
14,1,5326.55,2124.74,5734.69,0
15,1,-3931.16,-1954.25,4390.11,1
16,1,-3706.1,4156.43,5568.76,0
17,1,5175.6,-2820.32,5894.16,0
18,1,3008.24,2047.51,3638.93,2
19,1,-3513.38,3815.6,5186.78,0
20,1,-343.484,-963.571,1022.96,5
21,1,-4888.12,2511.42,5495.54,0
22,1,2781.72,-5173.59,5874.01,0
23,1,-3070.19,2279.55,3823.93,1
24,1,-3104.55,3892.27,4978.76,0
25,1,-905.094,37.7111,905.879,5
26,1,-1265.37,-1452.75,1926.56,5
27,1,2315.6,384.508,2347.31,4
28,1,-318.971,4163.36,4175.56,1
29,1,2432.84,4935.77,5502.77,0
30,1,1743.45,2901.03,3384.61,2
31,1,2068.96,-518.53,2132.95,4
32,1,4457.54,-2511.72,5116.49,0
33,1,-4074.3,-703.081,4134.51,1
34,1,1717.8,-3778.25,4150.42,1
35,1,-3381.72,3689.63,5004.94,0
36,1,3723.39,-3349.16,5008.05,0
37,1,-4433.84,-3089.47,5404.05,0
38,1,-3649.83,2932.96,4682.26,0
39,1,1906.18,5533.63,5852.74,0
40,1,3105.68,2932.18,4271.18,1
41,1,-1590.99,5248.79,5484.62,0
42,1,-3752.36,718.872,3820.6,1
43,1,2962.79,5319.28,6088.75,0
44,1,436.889,3692.11,3717.87,2
45,1,-84.1587,3583.19,3584.18,2
46,1,-2032.3,2672.93,3357.8,2
47,1,497.036,-4785.84,4811.58,0
48,1,-4486.44,-4075.01,6060.85,0
49,1,-1129.19,4840.27,4970.24,0
50,1,-2535.53,-3448.45,4280.27,1
51,1,3974.49,3994.03,5634.61,0
52,1,3403.48,1359.88,3665.1,2
53,1,4976.13,-2239.95,5457.04,0
54,1,-2749.55,4412.48,5199.04,0
55,1,-116.244,1826.1,1829.8,5
56,1,-163.099,4620.38,4623.26,1
57,1,-2768.87,4128.5,4971.03,0
58,1,161.929,-3359.54,3363.44,2
59,1,-1019.81,3876.75,4008.64,1
60,1,1340.3,5741.87,5896.23,0
61,1,-4687.72,1057.43,4805.51,0
62,1,1478.13,5084.8,5295.29,0
63,1,-4106.65,-2587.19,4853.67,0
64,1,-5266.71,-2250.96,5727.57,0
65,1,-482.265,-2044.67,2100.78,4
66,1,-1361.75,1808.68,2264,4
67,1,-2232.55,4106.24,4673.92,0
68,1,-3642.11,3437.05,5007.82,0
69,1,4995.42,-2427.15,5553.85,0
70,1,29.8227,-3643.25,3643.37,2
71,1,-3920.34,3500.95,5256.02,0
72,1,-2691.23,4720.39,5433.68,0
73,1,5262.29,-311.18,5271.48,0
74,1,-2913.15,591.077,2972.51,3
75,1,-2708.52,-4648.61,5380.12,0
76,1,-4962.88,-987.033,5060.08,0
77,1,5253.9,2477.47,5808.72,0
78,1,-4223.66,-685.86,4278.99,1
79,1,-2259.11,4013.85,4605.93,1
80,1,2102.96,-5487.76,5876.9,0
81,1,-2255.42,3678.14,4314.59,1
82,1,1630.62,388.808,1676.33,5
83,1,-4571.92,-2710.1,5314.8,0
84,1,-776.697,-5372.85,5428.7,0
85,1,5021.16,3362.73,6043.18,0
86,1,-2814.3,3708.01,4655.07,0
87,1,-1165.54,4282.22,4438,1
88,1,2518.04,1167.44,2775.51,3
89,1,-3363.34,-2017.5,3922.03,1
90,1,-2527.63,-3908.14,4654.3,0
91,1,-4310.79,-3398.5,5489.33,0
92,1,-2846.29,3367.18,4409,1
93,1,3435.32,4112.88,5358.84,0
94,1,3842.04,-2550,4611.27,1
95,1,4596.55,3797.11,5962.07,0
96,1,3281.32,3017.66,4457.95,1
97,1,-5568.13,2017.2,5922.26,0
98,1,3280.59,-3006.3,4449.73,1
99,1,-2365.32,-3142.17,3932.94,1
100,1,-2263.47,-5387.3,5843.48,0
101,1,-3282.76,-1207.9,3497.93,2
102,1,-3190.8,3843.75,4995.56,0
103,1,-4587.1,-1696.54,4890.78,0
104,1,-4366.16,-563.216,4402.34,1
105,1,-2407.32,-3753.98,4459.55,1
106,1,-3266.03,-4654.42,5686,0
107,1,262.189,-4044.06,4052.55,1
108,1,863.652,-2560.55,2702.28,3
109,1,2776.54,-80.1931,2777.69,3
110,1,-3995.84,-582.763,4038.11,1
111,1,-5244.05,-1872.12,5568.2,0
112,1,-724.516,1463.94,1633.41,5
113,1,-353.067,-5867.05,5877.67,0
114,1,-2056.3,2601.88,3316.34,2
115,1,4126.84,-3889.5,5670.89,0
116,1,-5066.02,413.375,5082.86,0
117,1,-468.404,-1790.45,1850.7,5
118,1,-2804.97,404.621,2834,3
119,1,4293.23,-181.988,4297.09,1
120,1,4310.3,529.552,4342.7,1
121,1,-3526.09,-2347.87,4236.25,1
122,1,3656.42,3862.45,5318.64,0
123,1,2670.94,-2530.82,3679.53,2
124,1,2720.53,3831.92,4699.46,0
125,1,-2200.49,-3582.22,4204.1,1
126,1,459.425,5406.85,5426.34,0
127,1,-4593.24,2226.5,5104.42,0
128,1,-2782.37,-4316.93,5135.9,0
129,1,4824.01,2938.04,5648.29,0
130,1,-3531.52,3157.66,4737.35,0
131,1,2121.85,-3001.36,3675.65,2
132,1,4493.96,733.084,4553.36,1
133,1,2877.14,-4708.76,5518.19,0
134,1,-543.173,412.567,682.092,5
135,1,-5258.15,-2937.68,6023.14,0
136,1,-5175.15,2995.47,5979.55,0
137,1,-2314.47,-4691.73,5231.55,0
138,1,672.009,2436.15,2527.14,3
139,1,5544.22,1443.25,5729,0
140,1,2726.98,-3795.81,4673.82,0
141,1,-2652.84,-291.583,2668.81,3
142,1,-4083.84,-2447.42,4761.05,0
143,1,-5062.67,3152.33,5963.88,0
144,1,-5156.57,-171.467,5159.42,0
145,1,-4298.3,-255.591,4305.9,1
146,1,-2523.49,-3777.21,4542.61,1
147,1,72.028,-4680.16,4680.71,0
