Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
7.001238445,USMsgTx,3880,2,280f000000010000ffffffffffffffff,16
8.436102082,USMsgTx,941,2,ad03000000010000feffffffffffffff,16
9.429202592,USMsgTx,3104,2,200c000000010000fdffffffffffffff,16
14.727264354,USMsgTx,2371,2,4309000000010000fcffffffffffffff,16
15.957955298,USMsgTx,1203,2,b304000000010000fbffffffffffffff,16
22.528838665,USMsgTx,2979,2,a30b000000010000faffffffffffffff,16
24.578143052,USMsgTx,1274,2,fa04000000010000f9ffffffffffffff,16
32.862659039,USMsgTx,1851,2,3b07000000010000f8ffffffffffffff,16
43.376422677,USMsgTx,2578,2,120a000000010000f7ffffffffffffff,16
49.245264483,USMsgTx,4370,2,1211000000010000f6ffffffffffffff,16
49.479549026,USMsgTx,1340,2,3c05000000010000f5ffffffffffffff,16
50.429473930,USMsgTx,1839,2,2f07000000010000f4ffffffffffffff,16
61.837053033,USMsgTx,3352,2,180d000000010000f3ffffffffffffff,16
61.995300439,USMsgTx,2353,2,3109000000010000f2ffffffffffffff,16
62.299246144,USMsgTx,4203,2,6b10000000010000f1ffffffffffffff,16
64.184164360,USMsgTx,1773,2,ed06000000010000f0ffffffffffffff,16
67.051322303,USMsgTx,1738,2,ca06000000010000efffffffffffffff,16
68.654156005,USMsgTx,1230,2,ce04000000010000eeffffffffffffff,16
70.431514141,USMsgTx,4865,2,0113000000010000edffffffffffffff,16
73.893422975,USMsgTx,2833,2,110b000000010000ecffffffffffffff,16
75.712660943,USMsgTx,603,2,5b02000000010000ebffffffffffffff,16
77.026453781,USMsgTx,310,2,3601000000010000eaffffffffffffff,16
78.418572923,USMsgTx,613,2,6502000000010000e9ffffffffffffff,16
79.429758088,USMsgTx,893,2,7d03000000010000e8ffffffffffffff,16
81.187332907,USMsgTx,3584,2,000e000000010000e7ffffffffffffff,16
83.581512044,USMsgTx,2784,2,e00a000000010000e6ffffffffffffff,16
84.070220050,USMsgTx,4954,2,5a13000000010000e5ffffffffffffff,16
84.892747354,USMsgTx,4770,2,a212000000010000e4ffffffffffffff,16
85.016781855,USMsgTx,1283,2,0305000000010000e3ffffffffffffff,16
85.789063559,USMsgTx,3452,2,7c0d000000010000e2ffffffffffffff,16
90.837402849,USMsgTx,4648,2,2812000000010000e1ffffffffffffff,16
91.340642840,USMsgTx,4323,2,e310000000010000e0ffffffffffffff,16
98.128649780,USMsgTx,2192,2,9008000000010000dfffffffffffffff,16
98.464664020,USMsgTx,103,2,6700000000010000deffffffffffffff,16
100.688501992,USMsgTx,2553,2,f909000000010000ddffffffffffffff,16
101.057638022,USMsgTx,3626,2,2a0e000000010000dcffffffffffffff,16
101.593781455,USMsgTx,2031,2,ef07000000010000dbffffffffffffff,16
102.445139155,USMsgTx,1363,2,5305000000010000daffffffffffffff,16
102.820381052,USMsgTx,4386,2,2211000000010000d9ffffffffffffff,16
103.397360352,USMsgTx,1942,2,9607000000010000d8ffffffffffffff,16
104.083634295,USMsgTx,3710,2,7e0e000000010000d7ffffffffffffff,16
104.227207851,USMsgTx,2864,2,300b000000010000d6ffffffffffffff,16
104.350626282,USMsgTx,2298,2,fa08000000010000d5ffffffffffffff,16
104.600632971,USMsgTx,1605,2,4506000000010000d4ffffffffffffff,16
104.816025891,USMsgTx,2309,2,0509000000010000d3ffffffffffffff,16
105.945818972,USMsgTx,2179,2,8308000000010000d2ffffffffffffff,16
106.072365320,USMsgTx,3486,2,9e0d000000010000d1ffffffffffffff,16
106.194640949,USMsgTx,2867,2,330b000000010000d0ffffffffffffff,16
108.326808067,USMsgTx,507,2,fb01000000010000cfffffffffffffff,16
108.462464985,USMsgTx,4353,2,0111000000010000ceffffffffffffff,16
109.873262572,USMsgTx,3595,2,0b0e000000010000cdffffffffffffff,16
111.181538929,USMsgTx,3325,2,fd0c000000010000ccffffffffffffff,16
111.732968440,USMsgTx,2972,2,9c0b000000010000cbffffffffffffff,16
112.457626613,USMsgTx,435,2,b301000000010000caffffffffffffff,16
112.656780223,USMsgTx,781,2,0d03000000010000c9ffffffffffffff,16
114.119155433,USMsgTx,79,2,4f00000000010000c8ffffffffffffff,16
114.795269671,USMsgTx,2900,2,540b000000010000c7ffffffffffffff,16
116.263553425,USMsgTx,773,2,0503000000010000c6ffffffffffffff,16
117.660334792,USMsgTx,4027,2,bb0f000000010000c5ffffffffffffff,16
117.917914531,USMsgTx,2296,2,f808000000010000c4ffffffffffffff,16
118.101831028,USMsgTx,3091,2,130c000000010000c3ffffffffffffff,16
118.574175531,USMsgTx,3419,2,5b0d000000010000c2ffffffffffffff,16
120.142391973,USMsgTx,427,2,ab01000000010000c1ffffffffffffff,16
